wavelength,absorbance
8455.02348,0.04959
8447.30905,0.05013
8439.59461,0.05068
8431.88017,0.05117
8424.16573,0.05157
8416.4513,0.05193
8408.73686,0.05223
8401.02242,0.05246
8393.30798,0.05266
8385.59355,0.05288
8377.87911,0.05308
8370.16467,0.05323
8362.45023,0.05333
8354.7358,0.05339
8347.02136,0.05339
8339.30692,0.05344
8331.59248,0.05351
8323.87805,0.05359
8316.16361,0.05366
8308.44917,0.05369
8300.73473,0.05373
8293.0203,0.05378
8285.30586,0.05382
8277.59142,0.05384
8269.87698,0.0538
8262.16255,0.0537
8254.44811,0.05359
8246.73367,0.05344
8239.01923,0.05322
8231.3048,0.05302
8223.59036,0.05282
8215.87592,0.05261
8208.16148,0.05244
8200.44705,0.05226
8192.73261,0.05196
8185.01817,0.05161
8177.30373,0.0513
8169.5893,0.05102
8161.87486,0.05076
8154.16042,0.05052
8146.44598,0.05026
8138.73155,0.04994
8131.01711,0.04963
8123.30267,0.04936
8115.58823,0.04911
8107.8738,0.04888
8100.15936,0.04868
8092.44492,0.04848
8084.73048,0.04827
8077.01605,0.04804
8069.30161,0.04781
8061.58717,0.04759
8053.87273,0.04735
8046.1583,0.04713
8038.44386,0.04696
8030.72942,0.0468
8023.01498,0.04663
8015.30055,0.04649
8007.58611,0.04637
7999.87167,0.04629
7992.15723,0.04622
7984.4428,0.0461
7976.72836,0.04594
7969.01392,0.04581
7961.29948,0.04574
7953.58505,0.04573
7945.87061,0.04571
7938.15617,0.04564
7930.44173,0.04559
7922.7273,0.04561
7915.01286,0.04565
7907.29842,0.04566
7899.58398,0.04565
7891.86955,0.04563
7884.15511,0.04562
7876.44067,0.0456
7868.72623,0.0456
7861.0118,0.04556
7853.29736,0.04548
7845.58292,0.04537
7837.86848,0.04523
7830.15405,0.04511
7822.43961,0.045
7814.72517,0.04487
7807.01073,0.04472
7799.2963,0.04453
7791.58186,0.04436
7783.86742,0.04421
7776.15298,0.04403
7768.43855,0.04383
7760.72411,0.04364
7753.00967,0.04344
7745.29523,0.04324
7737.5808,0.04306
7729.86636,0.0429
7722.15192,0.04276
7714.43748,0.04263
7706.72305,0.04254
7699.00861,0.04246
7691.29417,0.04236
7683.57973,0.04227
7675.8653,0.04221
7668.15086,0.04214
7660.43642,0.04203
7652.72198,0.04194
7645.00755,0.04188
7637.29311,0.04185
7629.57867,0.04186
7621.86423,0.04189
7614.1498,0.04191
7606.43536,0.04193
7598.72092,0.04195
