wavelength,absorbance,
11224.50654,0.04537,
11216.7921,0.04523,
11209.07767,0.04476,
11201.36323,0.04428,
11193.64879,0.04408,
11185.93435,0.04396,
11178.21992,0.04377,
11170.50548,0.04353,
11162.79104,0.04333,
11155.0766,0.04329,
11147.36217,0.04339,
11139.64773,0.04352,
11131.93329,0.04342,
11124.21885,0.04304,
11116.50442,0.04259,
11108.78998,0.04221,
11101.07554,0.04199,
11093.3611,0.04196,
11085.64667,0.04212,
11077.93223,0.04238,
11070.21779,0.0426,
11062.50335,0.04256,
11054.78892,0.04225,
11047.07448,0.04198,
11039.36004,0.04202,
11031.6456,0.04228,
11023.93117,0.04234,
11016.21673,0.04214,
11008.50229,0.04197,
11000.78785,0.04183,
10993.07342,0.04171,
10985.35898,0.04172,
10977.64454,0.04166,
10969.9301,0.04142,
10962.21567,0.04127,
10954.50123,0.04128,
10946.78679,0.04121,
10939.07235,0.04114,
10931.35792,0.04135,
10923.64348,0.04162,
10915.92904,0.04153,
10908.2146,0.0412,
10900.50017,0.0409,
10892.78573,0.0406,
10885.07129,0.04024,
10877.35685,0.0399,
10869.64242,0.03974,
10861.92798,0.03975,
10854.21354,0.03972,
10846.4991,0.03953,
10838.78467,0.0393,
10831.07023,0.03917,
10823.35579,0.0391,
10815.64135,0.03908,
10807.92692,0.03908,
10800.21248,0.03911,
10792.49804,0.03907,
10784.7836,0.03894,
10777.06917,0.03879,
10769.35473,0.03867,
10761.64029,0.03849,
10753.92585,0.03819,
10746.21142,0.0379,
10738.49698,0.03785,
10730.78254,0.03805,
10723.0681,0.03815,
10715.35367,0.03779,
10707.63923,0.03728,
10699.92479,0.03694,
10692.21035,0.03675,
10684.49592,0.03666,
10676.78148,0.0366,
10669.06704,0.03655,
10661.3526,0.03671,
10653.63817,0.03704,
10645.92373,0.03717,
10638.20929,0.03694,
10630.49485,0.03666,
10622.78042,0.03642,
10615.06598,0.0362,
10607.35154,0.03595,
10599.6371,0.03565,
10591.92267,0.03545,
10584.20823,0.03541,
